Key	Value
钓鲲者	นักจับคราเค่น
湖仙钓者	นักจับแฟรี่ทะเลทราบ
湖怪钓者	นักจับปีศาจทะเลทราบ
垂钓仙	ผู้อมตะนักตกปลา
垂钓圣者	พ่อพระนักตกปลา
垂钓翁	ผู้เฒ่านักตกปลา
战斗	การต่อสู้
气感	สัมผัสพลังชี่
处世	สังคม
内视	ภาพภายใน
烹饪	ทำอาหาร
版筑	การก่อสร้าง
农耕	การทำฟาร์ม
金石	การขุด
雅艺	ช่างฝีมือ
格物	ความเข้าใจ
斗法	เวทย์มนต์
丹器	การสร้างอุปกรณ์เวทมนต์
御器	ความเชี่ยวชาญของวิเศษ
术法	ความเชี่ยวชาญคาถา
护体	ป้องกัน
阵法	ค่ายกล
炼丹	เล่นแร่แปรธาตุ
炼器	การสร้างของวิเศษ
歧黄	ยา
巧匠	การประดิษฐ์
神识	รับรู้
根骨	อึด
魅力	สเน่ห์
悟性	ปัญญา
机缘	โชค
痛感	ความเจ็บปวด
意识	ความตั้งใจ
经脉	เส้นพลังชี่
移动	การเคลื่อนที่
身手	การกระทำ
感知	ประสาทสัมผัส
影响战斗能力。	มีผลในการต่อสู้
对灵气的感知能力，影响灵气护盾穿透率，法宝镇压几率。	ความสามารถในการรับรู้ฉี ส่งผลต่อโอกาสในการเจาะทะลุของม่านพลังชี่ และโอกาสในการสะกดของวิเศษ
影响角色之间互动事件发生的概率，招募角色的概率等。	มีผลต่อโอกาสที่จะเกิดเหตุการณ์ระหว่างการโต้ตอบระหว่างตัวละครและโอกาสในการรับสมัครตัวละครใหม่
对自身身体了解掌控的能力，影响淬体效率，淬体时出现有效进化的概率。在凡人阶段的岐黄技能会一定程度上影响该值。	ความสามารถในการเข้าใจในสั่งการร่างกายของตนเอง ส่งผลต่อประสิทธิภาพของ หลอมร่างใหม่ รวมถึงโอกาสที่วิวัฒนาการที่มีประสิทธิภาพจะเกิดขึ้นตอน หลอมร่างใหม่ ทักษะการรักษาของมนุษย์จะส่งผลต่อค่านี้ในระดับหนึ่ง
影响烹饪速度，烹饪成功率等。	ส่งผลต่อความเร็วและอัตราความสำเร็จในการปรุงอาหาร
影响建筑速度，建筑受伤时的概率等。	ส่งผลต่อความเร็วและโอกาสที่จะได้รับบาดเจ็บระหว่างงานก่อสร้าง
影响种植作物速度，收获作物产量等。	ส่งผลต่ออัตราการเจริญเติบโตของพืชและผลผลิตที่เก็บเกี่ยวได้
影响采掘速度，采掘产量等。	ส่งผลต่อความเร็วและผลลัพธ์ของการขุด
对灵感的把握能力，影响淬体时高级进化方向的出现概率。	ความสามารถในการจัดการกับแรงบันดาลใจ มีผลต่อโอกาสของทิศทางการวิวัฒนาการขั้นสูงที่จะเกิดขึ้นตอน หลอมร่างใหม่
对世界万物规律的理解能力，影响吐纳和吞噬获得精华的效率。在凡人阶段的巧匠技能会一定程度上影响该值。	ความสามารถในการเข้าใจกฎของทุกสิ่งในธรรมชาติ ส่งผลต่อประสิทธิภาพในการได้รับ Essence จากการหายใจ ทักษะการประดิษฐ์ของมนุษย์จะส่งผลต่อค่านี้ในระดับหนึ่ง
影响进入内门时，御物，术法，护体的初始等级。	มีผลต่อระดับเริ่มต้นของความเชี่ยวชาญของวิเศษ, คาถาและการป้องกัน เมื่อตัวละครกลายเป็นศิษย์ใน
影响岐黄，巧匠技巧，在进入内门时转化为炼丹，炼器的比例。	ส่งผลต่อทักษะการรักษาและการประดิษฐ์ สิ่งเหล่านี้จะถูกแปลงเป็นการเล่นแร่แปรธาตุ และความเชี่ยวชาญการสร้างของวิเศษ เมื่อตัวละครกลายเป็นศิษย์ใน
影响角色驾驭法宝的能力。	ส่งผลต่อความสามารถของตัวละครในการใช้ของวิเศษ
影响角色施展咒法的能力。	ส่งผลต่อความสามารถในการร่ายเวทย์ของตัวละคร
影响角色灵气抵挡伤害的能力。	(การป้องกัน) ส่งผลต่อความสามารถของตัวละครในการป้องกันตัวเองจากความเสียหายโดยใช้ฉี
影响角色结阵的能力。	ส่งผลต่อความสามารถของตัวละครในการสร้างค่ายกล
影响角色灵气最大值。	ส่งผลต่อพลังชี่สูงสุดของตัวละคร
影响炼丹时的速度，炼丹时的产量，炼丹时的成功率。	ส่งผลต่อความเร็วผลผลิตและอัตราความสำเร็จของการเล่นแร่แปรธาตุ
影响制作物品品质等。	ส่งผลต่อคุณภาพของไอเทมที่สร้างขึ้น
影响炼器时的速度，炼器产品的质量，炼器成功率以及炼器品阶加成。	ส่งผลต่อความเร็วคุณภาพของผลิตภัณฑ์ อัตราความสำเร็จและโบนัสระดับของการประดิษฐ์ของวิเศษ
