房间	ห้อง
兔皮薄衣衫	เสื้อบางหนังกระต่าย
紫布休闲下裳	กางเกงผ้าสีม่วงธรรมดา
蓝布薄衣衫	เสื้อบางผ้าสีฟ้า
白布薄下裳	กางเกงบางผ้าสีขาว
大理石剑	ดาบหินอ่อน
灰石伐木斧	Graystone Timber Axe
灵木矿镐	Spiritwood Pickaxe
木矿镐	อีเต้อไม้
木墙	กำแพงไม้
木门	ประตูไม้
木床	เตียงไม้
灵石炉灶	เตาหินวิญญาณ
梧桐木桌子	โต๊ะไม้ร่ม
梧桐木墙	กำแพงไม้ร่ม
梧桐木门	ประตูไม้ร่ม
灵石置物台	หินวิญญาณ Display
母兔子	กระต่ายตัวเมีย
公鸡	ไก่ตัวผู้
雄龟	เต่าตัวผู้
雌龟	เต่าตัวเมีย
雄青蛙	กบตัวผู้
雌青蛙	กบตัวเมีย
梁	Liang
菊	Ju
新家园	
采矿	Mine
野外的水	
双元	
伟	Wei
弘	Hong
新柔	Xinrou
欧阳	Ouyang
寻雪	Xunxue
双	Shuang
元	Yuan
梁菊	
安	An
郑	Zheng
依凝	Yining
萧	Xiao
瑞	Rui
佟	Tong
紫雅	Ziya
扫地	Sweep Floors
存档写入完成	Game Saved	
梁菊感到危险	
药物储量不足	Insufficient medicine reserves.	
食物储量不足	Insufficient food reserves.	
梁菊需要开采工具	
双元需要砍伐工具	
天火心光诀	
燃魂九极咒	
朱雀金刚	
造化不坏神雷	
迅影秘法	
少量的	Slightly 
混元决	
混元密卷	
圆转秘诀	
黄芽迅击	
中量的	Visibly	
赤炎迅击秘法	
黄庭混元宝典	
真丹蓄神剑诀	
神佑典	
景氏摄神要诀	
紫火神佑典	
大量的	Greatly 
丙火摄神书	
过去庄严琢玉秘传	
海量的	Massively	
再造形神之术	
南海清心神功	
