ID	Content	WholeContent	TipDesc	Desc
	Message	After merging with ID,	tips will display descriptions or further clarification	
1	อาหารสำรองไม่เพียงพอ	อาหารสำรองไม่เพียงพอ		
2	ยารักษาสำรองไม่เพียงพอ	ยารักษาสำรองไม่เพียงพอ		
3	Insufficient stamina reserves.	ไม่มีความแข็งแกร่ง ที่สำรองไว้		
4	ฤดูร้อนกำลังจะมา	ฤดูร้อนกำลังจะมา	กรุณาเตรียมตัวรับมือกับอากาศร้อน	
5	ฤดููหนาวกำลังจะมา	ฤดููหนาวกำลังจะมา	กรุณาเตรียมตัวรับมือกับอากาศหนาว	
6	มีศัตรูโผล่มาในแผนที่	มีศัตรูโผล่มาในแผนที่		
7	{0}{1} กำลังถูกโจมตี	สำนักของเรากำลังถูกโจมตี		
8	ไฟไหม้	ไฟไหม้		
9	คนเดินผ่านต้องการความช่วยเหลือ	คนเดินผ่านต้องการความช่วยเหลือ		
10	{0} พยายามที่จะขโมยของ {1}.	ศัตรูพยายามที่จะขโมยของ		
11	ศัตรู {0} ได้เอา {1} ไป	ศัตรููได้ขโมยของไป		
12	สัตว์เวทย์มนต์ {0} โผล่มา	สัตว์เวทย์มนต์โผล่มา		
13	Falling treasure.	Falling treasure.		
14	ผู้อมตะ {0}_มาถึง/จากไป	ผู้อมตะได้มาถึง		
15	{0} ได้ตกหลุมรักกับ {1}.	มีคนมีความรักใหม่		
16	{0} เลิกรักกับ {1}.	ความรักได้จางลง		
17	{0} ได้สารภาพความรักกับ {1}_และพวกเขาก็เป็นคู่กัน/แต่สุดท้ายก็ไม่สำเร็จ.	มีบางคนกำลังสารภาพรัก		
18	{0} ได้ชักชวน {1}_และสำเร็จ/แต่ว่าไม่สำเร็จ.	มีบางคนกำลังจะชวนคนเข้าสำนัก		
19	ถูกทิ้ง	ถูกทิ้ง		
20	{0} กำลังอารมณ์ไม่ดี	มีบางคนกำลังอารมณ์ไม่ดี		
21	{0} อารมณ์แย่ลงเนื่องจาก {1}.	มีบางคนอารมณ์แย่ลง		
22	{0} สถานะจิตไม่คงที่	มีบางคนกำลังสถานะจิตไม่คงที่		
23	{0}:  _ล้มลงมาสู่ดิน/หมดสติ/กำลังจะตาย	มีบางคนไม่สามารถขยับด้วยตัวเองได้		
24	ถูกทิ้ง	ถูกทิ้ง		
25	{0}: ตายแล้ว	มีมีบางคนตาย		
26	{0}: อู้งาน	มีบางคนกำลังอู้งาน		
27	{0}: เลิกอู้งาน	มีบางคนเลิกอู้งานแล้ว		
28	{0} ต้องการอาวุธสำหรับล่าสัตว์	มีบางคนต้องการอาวุธสำหรับล่าสัตว์		
29	{0} ต้องการเครื่องมือตัดไม้	มีบางคนต้องการเครื่องมือตัดไม้		
30	{0} ต้องการเครื่ื่องมือขุดหิน	มีบางคนต้องการเครื่ื่องมือขุดหิน		
31	{0} ต้องการอุปกรณ์ทำฟาร์ม	มีบางคนต้องการอุปกรณ์ทำฟาร์ม		
32	ความสามารถ {1} ของ {0} ได้เพิ่มระดับ	ความสามารถเพิ่มระดับ		
33	{0}: ได้เข้าสู่สายมาร	ได้เข้าสู่สายมาร		
34	{0} ได้สำเร็จขั้น Zhuji	มีบางคนได้สำเร็จขั้น Zhuji		
35	{0} มาถึงขีดจำกัด	มีบางคนได้มาถึงขีดจำกัด		
36	(1){0}'s limit is almost over.	Someone's limit is almost over.		
37	(1){0}'s limit is over.	Someone's limit is over.		
38	{0} ลองสร้างอุปกรณ์วิเศษ {1}_และสำเร็จ/แต่ไม่สำเร็จ	มีบางคนได้ลองสร้างอุปกรณ์วิเศษ		
39	{0} ลองเล่นแร่แปรธาตุ _และสำเร็จ/แต่ไม่สำเร็จ	มีบางคนได้ลองเล่นแร่แปรธาตุ		
40	{0} ก้มกราบ {1} เป็นอาจารย์	มีบางคนมีอาจารย์ใหม่		
41	{0} ได้บ่นเกี่ยวกับสำนัก	มีบางคนบ่นเกี่ยวกับสำนัก		
42	{0} กลับมาจากการผจญภัย	มีบางคนกลับมาจากการผจญภัย		
43	{0} ลองก้าวข้ามขีดจำกัด _และสำเร็จ/แต่ไม่สำเร็จ	มีบางคนได้ลองก้าวข้ามขีดจำกัด		
44	หยั่งรู้ล่วงหน้า: {0}.	หยั่งรู้ล่วงหน้า		
45	{0} ต้องการหัวหน้าสาขา	ต้องการหัวหน้าสาขา		
46	{0} กำลังหิว	มีบางคนกำลังหิว	หาอาหารเพิ่มสิ	
47	{0} กำลังหิวน้ำ	มีบางคนกำลังหิวน้ำ	ต้องหาแหล่งน้ำเพิ่ม	
48	{0} เบื่อ	มีบางคนกำลังเบื่อ	ลองสร้างสิ่งก่อสร้างประเภท Leisure มาช่วยสิ	
49	{0} เหนื่อย	มีบางคนกำลังเหนื่อย	ต้องการพักมากกว่านี้	
50	{0}: บาดเจ็บ	มีบางคนกำลังบาดเจ็บ		
51	{0}: อาการบาดเจ็บแย่ลง	มีบางคนอาการบาดเจ็บแย่ลง		
52	{0}: ได้พิการ	มีบางคนได้พิการลง		
53	เซฟสำเร็จเรียบร้อย			
54	{0}: สภาพไม่เหมาะสมแก่การเติบโต	เงื่อไขการเติบโตของพืชวิญญาณ กลายเป็นไม่เหมาะสม		
55	{0} กำลังอยู่ในอันตราย	มีความรู้สึกว่าอันตรายอยู่รอบ ๆ		
56	{1} รู้สึกถึงพลังชี่ และได้ก้าวข้ามกลายเป็นสัตว์(1)			
57	สัตว์ {0} ได้โผล่มาในแผนที่(1)	มีสัตว์โผล่มาในแผนที่(1)		
58	สัตว์ {0} รู้สึกถึงพลังชี่และกาวข้ามขีดจำกัด	สัตว์ก้าวข้ามขีดจำกัด		
59	สัตว์โบราณ {0} เริ่มการโจมตี	สัตว์โบราณเริ่มการโจมตี!		
60	{0} ใช้งานอุปกรณ์วิเศษ {1}.			
61	{0} ลองรับทัณฑ์สวรรค์ _และสำเร็จ/แต่ไม่สำเร็จ	รอดตายจากทัณฑ์สวรรค์(1)		
62	Relic appears!	Relic Appears		
63	{0} ถูกอ้างความเป็นเจ้าของโดย {1}.			
64	มีเวอร์ชั่นใหม่แล้ว		New version available: {0}.	
65	{0} ลองคัดลอกตำรา {1}_และสำเร็จ/แต่ไม่สำเร็จ	ถูกเก็บลงชั้นเก็บตำรา		
66	{0} สถานะจิตถูกเพิ่มขึ้นเป็น [{1}] และยังได้เพิ่มความเป็นเทพด้วย(1)			
67	{0} lost control over their obsession and will face Belief Tribulation.	Obsessed		
68	{0} crafted the sacred relic {1}_and succeeded/but failed.	Crafting Sacred Relic		
69	{0}'s obsession of {1} appeared.	Obsession Appears		
70	{0} ได้รับความเป็นเทพเต็มเปี่ยมอีกไม่นานก็จะจุติ(1)	จุติ!		
71	{0} severed their obsession: [{1}]			
72	{0}'s divine title has changed.	Divine Title		
73	{0} tried to study {1}_and succeeded/but failed.	Study		
74	{1} found a piece of {0} while eating dumplings.			
75	{0} becomes illuminated	Taoist Animism		
76	{0} possesses self-consciousness and has becomes a วิญญาณรับรู้	วิญญาณรับรู้ Awakening		
77	{0} Channeling failed	Channeling failed		
78	{0} appeared	วิญญาณรับรู้s Passing By		
79	{0}'s {1} has already been remolded			
80	หินหยินหยางได้กลับมามีพลังอีกครั้ง	หินหยินหยางได้มีพลังกลับมาอีกครั้ง		
81	แผ่นศิลาพระแม่ธรณีได้กลับมามีพลังอีกครั้ง	แผ่นศิลาพระแม่ธรณีได้กลับมามีพลังอีกครั้ง		
82	มีสิงของชิ้นหนึ่งได้ลอยเข้าไปในช่องวางสู่โลกอื่น	มีสิงของชิ้นหนึ่งได้ลอยเข้าไปในช่องวางสู่โลกอื่น		
83	{0}： ปลาติดเบ็ดแล้ว	ตกปลา		
