Key	Value
分享码错误或者召唤失败，请重新再试	รหัสไม่ถูกต้องหรือการอัญเชิญล้มเหลวโปรดลองอีกครั้ง
请输入分享码	ป้อนรหัสแบ่งปัน
拍卖功能还未激活	ยังไม่ได้เปิดใช้งานฟังก์ชันการประมูล
这一次拍卖还没开启	การประมูลยังไม่เริ่ม
还有赎金没交,拍卖行拒绝了你	ยังไม่ได้ส่งเงินบ้านประมูลปฏิเสธคุณ
[NAME]什么都不想做，还是离开这里吧。	[NAME] ไม่ต้องการทำอะไรสักอย่าง แต่ออกไป
他们被吓跑了，奇观建设继续进行。	พวกเขาตกใจกลัวและการก่อสร้างยังคงดำเนินต่อไปอย่างน่าประหลาดใจ
辩论旷日持久，最终也没有个结果，奇观建设被耽误了。	การอภิปรายดำเนินต่อไปและน่าแปลกใจที่การก่อสร้างล่าช้า
他们骂了几句就走了，奇观建设继续进行。	พวกเขาสาบานและจากไปและการก่อสร้างยังคงดำเนินต่อไปอย่างน่าประหลาดใจ
来的人越来越多，很多人甚至还对建筑设计评头论足，奇观建设被耽误了。	มีการวิพากษ์วิจารณ์การออกแบบมากขึ้นเรื่อย ๆ ดังนั้นการสร้างสิ่งมหัศจรรย์จึงล่าช้าออกไป
他们居然还责备我们不领情，奇观建设继续进行。估计他们明天也不会来了。	พวกเขาจากไปโดยกล่าวหาว่าเราเนรคุณและสงสัยว่าการก่อสร้างยังคงดำเนินต่อไป พวกเขาอาจจะไม่มาในวันพรุ่งนี้เช่นกัน
他们说了好半天话，最终给了我们一朵纸做的红花，奇观建设被耽误了。	พวกเขาพูดคุยกันเป็นเวลานานและมอบป้ายที่ทำจากกระดาษให้เราดังนั้นการก่อสร้างจึงล่าช้าออกไป
{0}大显神通，召唤了大雨，灾难缓解了不少。	{0} ได้แสดงปาฏิหาริย์มีฝนตกหนักและการบรรเทาสาธารณภัยก็ได้รับความช่วยเหลือไม่น้อย
我方赈灾进度增加了{0}。	ความคืบหน้าในการบรรเทาทุกข์ของเราเพิ่มขึ้น {0}
{0}大显神通，又减少了食物的产量，灾难加剧了。	{0} แสดงปาฏิหาริย์การผลิตอาหารลดลงและภัยพิบัติเลวร้ายลง
赈灾需求提高了{0}。	ข้อกำหนดการบรรเทาภัยพิบัติเพิ่มขึ้น {0}
{1}发动神力，直达灾民心怀。我方赈灾进度增加了{0}。	{1} ใช้พลังพิเศษสัมผัสหัวใจของเหยื่อ ความคืบหน้าในการบรรเทาทุกข์ของเราเพิ่มขึ้น {0}
{0}大显神通，用土封住了洪水，灾难缓解了不少。	{0} แสดงปาฏิหาริย์ใช้ดินเพื่อหยุดน้ำท่วมและการบรรเทาสาธารณภัยก็ได้รับความช่วยเหลือไม่น้อย
{0}大显神通，又招来一些洪水，灾难加剧了。	{0} แสดงปาฏิหาริย์มีน้ำท่วมมากขึ้นและภัยพิบัติเลวร้ายลง
{0}大显神通，加热了此地的空气，灾难缓解了不少。	{0} แสดงปาฏิหาริย์อากาศร้อนขึ้นและการบรรเทาสาธารณภัยได้รับความช่วยเหลือไม่น้อย
{0}大显神通，又降低了温度，灾难加剧了。	{0} แสดงปาฏิหาริย์อุณหภูมิลดลงอีกและภัยพิบัติก็แย่ลง
{0}大显神通，直接修复了一些人家的房屋，灾难缓解了不少。	{0} แสดงปาฏิหาริย์ฟื้นฟูบ้านบางหลังและการบรรเทาสาธารณภัยก็ได้รับความช่วยเหลือไม่น้อย
{0}大显神通，又发动了一次小地震，灾难加剧了。	{0} แสดงปาฏิหาริย์มีแผ่นดินไหวขนาดเล็กอีกครั้งและภัยพิบัติรุนแรงขึ้น
{0}只是将部分食物分给灾民。	{0} แบ่งปันอาหารส่วนหนึ่งกับเหยื่อ
{0}想要安抚难民，但危机情况下嘴皮子还是不够实在。	{0} ต้องการที่จะไล่ผู้ลี้ภัย แต่คำพูดเพียงแค่ไปไกลในช่วงวิกฤต
{0}抓了一些难民，把食物强行给他们，只有少数人拿了食物。	{0} ยัดอาหารใส่ผู้ลี้ภัย แต่มีเพียงไม่กี่คนเท่านั้นที่รับได้
{0}大张旗鼓地做了很多美食，放在路边，喊道：“加我们，食物免费拿！”因为在紧要关头，群众纷纷选择拿了食物。	{0} ทำอาหารอร่อยมากมายวางไว้ข้างถนนและตะโกนว่า: "เข้าร่วมกับเราและอาหารฟรี!" คนจำนวนมากคว้าอาหารเนื่องจากช่วงเวลาที่สิ้นหวัง
{0}想要动脑筋如何更快地赈灾，可时间不等人，白白错过了许多灾民	{0} หยุดและพยายามคิดว่าจะช่วยบรรเทาภัยพิบัติได้เร็วขึ้นอย่างไร แต่ผู้ประสบภัยก็มี แต่กองพะเนินเทินทึก
众人把食物一抢而空，许多难民都拿到了食物。	ฝูงชนคว้าอาหารจนหมดผู้ลี้ภัยหลายคนสามารถหาอาหารได้
{0}准备将灵石分给灾民。	{0} เตรียมมอบหินวิญญาณให้กับผู้ลี้ภัย
但没人知道这是什么。	แต่ไม่มีใครรู้ว่าหินแวววาวคืออะไร
{0}准备将木头分给灾民。	{0} เตรียมมอบไม้ให้กับผู้ลี้ภัย
但没人需要这么大一根木棍。	ไม่มีใครต้องการไม้กอล์ฟขนาดใหญ่เช่นนี้
{0}准备将石料分给灾民。	{0} เตรียมมอบ Stone ให้กับผู้ลี้ภัย
但没人需要这么大一块石头。	ไม่มีใครต้องการก้อนหินขนาดใหญ่เช่นนี้
{0}看了一眼众弟子，让他们分头去帮助灾民。	{0} ส่งสาวกไปช่วยเหลือผู้ลี้ภัย
{0}只是将部分石料分给灾民。	{0} แบ่งปันหินส่วนหนึ่งกับเหยื่อ
{0}抓了一些难民，把赈灾石料强行给他们，只有少数人拿了石料。	{0} คว้าผู้ลี้ภัยบางคนผลัก Stone ใส่พวกเขาแม้ว่าจะมีเพียงไม่กี่คนก็ตาม
{0}将石料放在路边，向群众喊道：“成为我们的信徒即可免费领石料！”虽然看起来像趁火打劫，但群众也管不了那么多了。	{0} วาง Stone ไว้ข้างถนนและตะโกนใส่ฝูงชน: "มาเป็น Follower แล้วเราจะให้ Stone ฟรี!" ทุกคนรู้ว่าพวกเขาถูกเอาเปรียบ แต่พวกเขาล้วนต้องการ Stone
虽然有人缺食物，但修建堤坝才是要紧的事情。	บางคนไม่มีพอกิน แต่เขื่อนก็จำเป็น
但没人需要这些木头。	แต่ไม่มีใครต้องการไม้
{0}号召弟子将石料直接用于修建防洪工程。	{0} เรียกร้องให้สาวกใช้หินสร้างโครงสร้างควบคุมน้ำท่วม
{0}只是将部分赈灾木材分给灾民。	{0} มอบไม้ส่วนหนึ่งให้กับผู้ลี้ภัย
{0}抓了一些难民，把木材强行给他们，只有少数人拿了食物。	{0} จับผู้ลี้ภัยยัดวูดใส่พวกเขาแม้ว่าบางคนจะเอาอาหารไป
{0}将木材摆上街头，说道：“只要加入我们，木材免费拿！”灾民实在冷得不行，拿了很多木头回家当柴了。	{0} วางฟืนบนถนนและพูดว่า: "ถ้าคุณมาร่วมกับเราเราจะให้ไม้ฟรีกับคุณ!" ผู้ลี้ภัยรู้สึกหนาวและเอาไม้กลับไปใช้เป็นฟืน
{0}准备将食物分给灾民。但他们并不缺食物。	{0} เตรียมที่จะให้อาหารแก่ผู้ลี้ภัย พวกเขาไม่ได้ขาดอาหารแม้ว่า
{0}将木材砍成柴火直接送到灾民手里。	{0} สับไม้และมอบให้กับผู้ลี้ภัยเพื่อใช้เป็นฟืน
但没人需要石头。	ไม่มีใครต้องการ Rock แม้ว่า
{0}号召弟子将石料直接用于重建群众的家园。	{0} เรียกร้องให้สาวกใช้หินสร้างบ้านของผู้คนขึ้นมาใหม่
[NAME]靠近蕴灵树后感受其中玄妙，自身灵气运转更加流畅了。	[NAME] รู้สึกถึงความลึกลับใกล้ ๆ Illumitree, Qi ไหลได้คล่องขึ้น。
[NAME]掳走了几个凡人。幸运的是，此事滴水不漏，无人察觉。	[NAME] ได้จับวิญญาณมาแล้วจำนวนหนึ่ง โชคดีที่นี่เป็นเรื่องที่เข้าใจผิดไม่มีใครจะรู้ได้
[NAME]掳走了几个凡人。不幸的是，此事走漏了风声，宣扬开来。	[NAME] ได้จับวิญญาณมาแล้วจำนวนหนึ่ง น่าเสียดายที่ดูเหมือนว่าแมวออกจากถุงนี้
